2025-12-08 16:09:31 | INFO | Config saved to ./logs/TimeLLM_ETTh1_TimeLLM-ETTh1-GPT2_20251208_160931/config.json
2025-12-08 16:09:31 | INFO | Experiment Setting: long_term_forecast_ETTh1_512_96_TimeLLM_ETTh1_ftM_sl512_ll48_pl96_dm32_nh8_el2_dl1_df128_fc3_ebtimeF_Exp_0
2025-12-08 16:09:31 | INFO | Training iteration: 1/1
2025-12-08 17:35:35 | INFO | Epoch 007 | Iter 00900/1004 | Loss: 0.2868142 | Speed: 0.6142s/iter | ETA: 1h 23m
2025-12-08 17:36:27 | INFO | Epoch 007 | Iter 01000/1004 | Loss: 0.3054520 | Speed: 0.5194s/iter | ETA: 1h 9m
2025-12-08 17:39:38 | INFO | Epoch 007 | Train Loss: 0.3646708 | Vali Loss: 0.7660488 | Test Loss: 0.3876758 | MAE: 0.4111378 | Time: 585.60s | LR: 1.25e-05
2025-12-08 17:40:41 | INFO | Epoch 008 | Iter 00100/1004 | Loss: 0.3464551 | Speed: 2.5419s/iter | ETA: 5h 36m
2025-12-08 17:41:41 | INFO | Epoch 008 | Iter 00200/1004 | Loss: 0.3422166 | Speed: 0.6005s/iter | ETA: 1h 18m
2025-12-08 17:42:36 | INFO | Epoch 008 | Iter 00300/1004 | Loss: 0.4469106 | Speed: 0.5455s/iter | ETA: 1h 10m
2025-12-08 17:43:38 | INFO | Epoch 008 | Iter 00400/1004 | Loss: 0.3659216 | Speed: 0.6212s/iter | ETA: 1h 19m
2025-12-08 17:44:35 | INFO | Epoch 008 | Iter 00500/1004 | Loss: 0.4312004 | Speed: 0.5708s/iter | ETA: 1h 11m
2025-12-08 17:45:31 | INFO | Epoch 008 | Iter 00600/1004 | Loss: 0.3187701 | Speed: 0.5641s/iter | ETA: 1h 9m
2025-12-08 17:46:32 | INFO | Epoch 008 | Iter 00700/1004 | Loss: 0.3186572 | Speed: 0.6095s/iter | ETA: 1h 14m
2025-12-08 17:47:27 | INFO | Epoch 008 | Iter 00800/1004 | Loss: 0.3759104 | Speed: 0.5523s/iter | ETA: 1h 6m
2025-12-08 17:48:27 | INFO | Epoch 008 | Iter 00900/1004 | Loss: 0.3089305 | Speed: 0.6003s/iter | ETA: 1h 11m
2025-12-08 17:49:30 | INFO | Epoch 008 | Iter 01000/1004 | Loss: 0.3082872 | Speed: 0.6241s/iter | ETA: 1h 13m
2025-12-08 17:52:40 | INFO | Epoch 008 | Train Loss: 0.3625839 | Vali Loss: 0.7632301 | Test Loss: 0.3861750 | MAE: 0.4095366 | Time: 594.50s | LR: 6.25e-06
2025-12-08 17:53:36 | INFO | Epoch 009 | Iter 00100/1004 | Loss: 0.3779878 | Speed: 2.4651s/iter | ETA: 4h 44m
2025-12-08 17:54:38 | INFO | Epoch 009 | Iter 00200/1004 | Loss: 0.3762162 | Speed: 0.6132s/iter | ETA: 1h 9m
2025-12-08 17:55:37 | INFO | Epoch 009 | Iter 00300/1004 | Loss: 0.2987113 | Speed: 0.5923s/iter | ETA: 1h 6m
2025-12-08 17:56:30 | INFO | Epoch 009 | Iter 00400/1004 | Loss: 0.3885411 | Speed: 0.5315s/iter | ETA: 0h 58m
2025-12-08 17:57:33 | INFO | Epoch 009 | Iter 00500/1004 | Loss: 0.3317642 | Speed: 0.6312s/iter | ETA: 1h 8m
2025-12-08 17:58:29 | INFO | Epoch 009 | Iter 00600/1004 | Loss: 0.5458278 | Speed: 0.5579s/iter | ETA: 0h 59m
2025-12-08 17:59:28 | INFO | Epoch 009 | Iter 00700/1004 | Loss: 0.3381031 | Speed: 0.5873s/iter | ETA: 1h 1m
2025-12-08 18:00:29 | INFO | Epoch 009 | Iter 00800/1004 | Loss: 0.4024813 | Speed: 0.6171s/iter | ETA: 1h 4m
2025-12-08 18:01:22 | INFO | Epoch 009 | Iter 00900/1004 | Loss: 0.4491565 | Speed: 0.5230s/iter | ETA: 0h 53m
2025-12-08 18:02:23 | INFO | Epoch 009 | Iter 01000/1004 | Loss: 0.3430678 | Speed: 0.6139s/iter | ETA: 1h 1m
2025-12-08 18:05:32 | INFO | Epoch 009 | Train Loss: 0.3612490 | Vali Loss: 0.7689664 | Test Loss: 0.3856488 | MAE: 0.4090792 | Time: 585.69s | LR: 3.12e-06
2025-12-08 18:06:31 | INFO | Epoch 010 | Iter 00100/1004 | Loss: 0.3353152 | Speed: 2.4801s/iter | ETA: 4h 4m
2025-12-08 18:07:25 | INFO | Epoch 010 | Iter 00200/1004 | Loss: 0.3142767 | Speed: 0.5440s/iter | ETA: 0h 52m
2025-12-08 18:08:29 | INFO | Epoch 010 | Iter 00300/1004 | Loss: 0.2758476 | Speed: 0.6334s/iter | ETA: 1h 0m
2025-12-08 18:09:27 | INFO | Epoch 010 | Iter 00400/1004 | Loss: 0.2965757 | Speed: 0.5865s/iter | ETA: 0h 54m
2025-12-08 18:10:22 | INFO | Epoch 010 | Iter 00500/1004 | Loss: 0.3160108 | Speed: 0.5509s/iter | ETA: 0h 50m
2025-12-08 18:11:24 | INFO | Epoch 010 | Iter 00600/1004 | Loss: 0.4220859 | Speed: 0.6140s/iter | ETA: 0h 55m
2025-12-08 18:12:20 | INFO | Epoch 010 | Iter 00700/1004 | Loss: 0.2408071 | Speed: 0.5634s/iter | ETA: 0h 50m
2025-12-08 18:13:19 | INFO | Epoch 010 | Iter 00800/1004 | Loss: 0.5777869 | Speed: 0.5849s/iter | ETA: 0h 50m
2025-12-08 18:14:20 | INFO | Epoch 010 | Iter 00900/1004 | Loss: 0.3668426 | Speed: 0.6137s/iter | ETA: 0h 52m
2025-12-08 18:15:12 | INFO | Epoch 010 | Iter 01000/1004 | Loss: 0.4054885 | Speed: 0.5197s/iter | ETA: 0h 43m
2025-12-08 18:18:22 | INFO | Epoch 010 | Train Loss: 0.3609389 | Vali Loss: 0.7712447 | Test Loss: 0.3866789 | MAE: 0.4098631 | Time: 582.19s | LR: 1.56e-06
2025-12-08 18:19:26 | INFO | Epoch 011 | Iter 00100/1004 | Loss: 0.3522791 | Speed: 2.5365s/iter | ETA: 3h 28m
2025-12-08 18:20:26 | INFO | Epoch 011 | Iter 00200/1004 | Loss: 0.3501377 | Speed: 0.6039s/iter | ETA: 0h 48m
2025-12-08 18:21:20 | INFO | Epoch 011 | Iter 00300/1004 | Loss: 0.3232344 | Speed: 0.5354s/iter | ETA: 0h 42m
2025-12-08 18:22:22 | INFO | Epoch 011 | Iter 00400/1004 | Loss: 0.4005865 | Speed: 0.6210s/iter | ETA: 0h 47m
2025-12-08 18:23:20 | INFO | Epoch 011 | Iter 00500/1004 | Loss: 0.3332162 | Speed: 0.5841s/iter | ETA: 0h 44m
2025-12-08 18:24:16 | INFO | Epoch 011 | Iter 00600/1004 | Loss: 0.3019568 | Speed: 0.5573s/iter | ETA: 0h 41m
2025-12-08 18:25:17 | INFO | Epoch 011 | Iter 00700/1004 | Loss: 0.3267719 | Speed: 0.6135s/iter | ETA: 0h 44m
